step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
104,25.784,14.9482,11.167,-0.290,-0.45,2.200,0.292,11.200,0.000,0.2027,-0.5706,0.000,0.027,0.196,-0.024,99.793
105,26.035,15.1230,11.276,-0.282,-0.15,2.145,0.283,11.300,0.000,0.1849,-0.4666,0.000,0.018,0.196,-0.032,50.030
106,26.234,15.7464,11.381,-0.273,0.19,2.091,0.274,11.400,0.000,0.2597,-0.6563,0.000,0.035,0.195,-0.029,50.138
107,26.485,14.2456,11.485,-0.262,0.54,2.029,0.263,11.500,0.000,0.2094,-0.3783,0.000,0.012,0.195,-0.013,50.089
108,26.684,15.3652,11.585,-0.250,0.94,2.015,0.251,11.600,0.000,0.2340,-0.4060,0.000,0.015,0.195,0.005,50.168
109,26.935,14.8348,11.685,-0.237,1.37,1.985,0.237,11.700,0.000,0.2273,-0.0682,0.015,0.000,0.195,0.006,50.798
110,27.185,17.0150,11.784,-0.222,1.83,1.981,0.222,11.800,0.000,0.2494,-0.1873,0.004,0.000,0.195,0.012,100.018
111,27.435,15.0047,11.882,-0.205,2.30,1.969,0.206,11.900,0.000,0.2153,-0.3468,0.000,0.010,0.195,-0.010,50.173
112,27.635,15.4213,11.980,-0.187,2.81,1.967,0.188,12.000,0.000,0.2110,0.0215,0.022,0.000,0.195,0.007,49.954
113,27.934,15.4980,12.078,-0.168,3.32,1.974,0.170,12.100,0.000,0.2237,0.1205,0.031,0.000,0.196,0.031,99.988
114,28.134,15.2500,12.175,-0.149,3.78,1.974,0.151,12.200,0.000,0.1681,0.0819,0.028,0.000,0.197,0.008,50.168
115,28.434,14.2345,12.273,-0.129,4.24,1.988,0.132,12.300,0.000,0.1596,0.3491,0.052,0.000,0.197,0.012,100.024
116,28.635,16.9148,12.372,-0.109,4.71,2.012,0.113,12.400,0.000,0.1656,0.4103,0.057,0.000,0.198,0.005,50.059
117,28.885,14.5909,12.472,-0.090,5.12,2.042,0.094,12.500,0.000,0.1943,0.2349,0.042,0.000,0.198,0.025,50.115
118,29.085,14.9269,12.574,-0.070,5.48,2.075,0.075,12.600,0.000,0.1769,0.2089,0.040,0.000,0.199,0.003,50.033
119,29.334,15.7044,12.677,-0.049,5.86,2.121,0.054,12.700,0.000,0.1951,0.3319,0.051,0.000,0.199,-0.006,49.932
120,29.584,14.6329,12.782,-0.026,6.28,2.159,0.032,12.800,0.000,0.2705,0.0241,0.025,0.000,0.199,-0.000,100.440
121,29.834,14.8740,12.889,-0.002,6.72,2.183,0.012,12.900,0.000,0.2942,0.2956,0.049,0.000,0.199,-0.003,50.675
122,30.035,15.6002,12.996,0.024,7.19,2.189,0.024,13.000,0.000,0.3483,0.1101,0.033,0.000,0.198,-0.004,50.249
123,30.285,16.2312,13.103,0.052,7.70,2.207,0.052,13.100,0.000,0.4100,0.1350,0.035,0.000,0.198,-0.003,50.435
124,30.485,15.4983,13.211,0.083,8.28,2.228,0.084,13.200,0.000,0.4446,0.4076,0.059,0.000,0.197,-0.008,50.194
125,30.734,16.1297,13.319,0.118,8.93,2.261,0.119,13.300,0.000,0.4750,0.0648,0.029,0.000,0.196,-0.007,50.092
126,30.935,14.1301,13.428,0.155,9.66,2.275,0.158,13.400,0.000,0.4704,-0.0204,0.022,0.000,0.195,-0.021,50.035
127,31.185,14.1137,13.536,0.197,10.47,2.279,0.200,13.500,0.000,0.4519,0.3735,0.057,0.000,0.194,-0.020,50.130
128,31.385,14.7387,13.643,0.242,11.36,2.276,0.246,13.600,0.000,0.4017,0.2041,0.042,0.000,0.193,-0.018,50.175
129,31.635,15.7463,13.750,0.291,12.31,2.308,0.295,13.700,0.000,0.3101,-0.3039,0.000,0.003,0.193,-0.010,50.793
130,31.834,13.6534,13.856,0.343,13.32,2.320,0.346,13.900,0.000,0.1072,0.4309,0.062,0.000,0.193,0.006,50.252
131,32.085,16.3327,13.962,0.396,14.30,2.300,0.398,14.000,0.000,-0.0895,0.2543,0.047,0.000,0.194,0.046,50.837
132,32.285,14.8387,14.069,0.447,15.13,2.334,0.448,14.100,0.000,-0.1323,0.1419,0.038,0.000,0.196,0.077,50.089
133,32.585,14.8393,14.177,0.494,15.75,2.356,0.495,14.200,0.000,-0.1750,0.1247,0.036,0.000,0.198,0.073,100.172
134,32.784,15.5611,14.288,0.537,16.15,2.367,0.537,14.300,0.000,-0.1700,0.0841,0.033,0.000,0.200,0.049,49.602
135,33.034,15.1525,14.400,0.575,16.33,2.361,0.575,14.400,0.000,-0.1913,-0.1008,0.016,0.000,0.201,0.029,50.289
136,33.235,15.2283,14.512,0.607,16.30,2.340,0.607,14.500,0.000,-0.1973,-0.0323,0.022,0.000,0.201,0.013,50.137
137,33.485,14.6964,14.624,0.636,16.14,2.306,0.636,14.600,0.000,-0.2042,-0.0152,0.024,0.000,0.201,-0.010,50.251
138,33.685,14.8604,14.735,0.661,15.91,2.273,0.662,14.700,0.000,-0.2045,-0.0805,0.018,0.000,0.201,-0.004,50.018
139,33.985,13.8300,14.847,0.684,15.62,2.252,0.686,14.800,0.000,-0.1890,0.1455,0.038,0.000,0.201,-0.020,100.019
140,34.185,14.1383,14.957,0.704,15.27,2.228,0.706,15.000,0.000,-0.1916,0.0780,0.032,0.000,0.201,-0.032,50.147
141,34.434,14.6892,15.069,0.722,14.84,2.224,0.726,15.000,0.000,-0.2302,0.0693,0.031,0.000,0.201,-0.006,49.895
142,34.685,15.0548,15.180,0.738,14.35,2.238,0.738,15.157,0.001,-0.2052,-0.0392,0.022,0.000,0.201,0.015,97.603
143,34.935,15.1920,15.292,0.751,13.81,2.221,0.748,15.314,0.003,-0.1830,0.2976,0.052,0.000,0.201,0.018,50.439
144,35.185,14.3573,15.404,0.763,13.25,2.230,0.759,15.471,0.007,-0.1684,0.2014,0.044,0.000,0.201,0.015,99.757
145,35.435,15.1643,15.516,0.776,12.73,2.271,0.769,15.471,0.007,-0.1877,0.2583,0.049,0.000,0.200,-0.003,50.094
146,35.635,15.7291,15.631,0.788,12.28,2.309,0.775,15.628,0.013,-0.1800,0.2056,0.045,0.000,0.200,0.010,50.586
147,35.935,15.1422,15.747,0.799,11.82,2.331,0.780,15.785,0.021,-0.1548,0.0253,0.029,0.000,0.200,0.007,100.078
148,36.135,15.1127,15.865,0.810,11.33,2.355,0.784,15.942,0.030,-0.1776,0.1308,0.038,0.000,0.200,-0.004,50.732
149,36.385,14.7419,15.982,0.821,10.85,2.362,0.790,16.099,0.040,-0.1403,0.2202,0.046,0.000,0.200,0.002,50.590
150,36.585,13.8087,16.101,0.831,10.41,2.372,0.791,16.099,0.040,-0.1808,0.1293,0.039,0.000,0.201,0.008,50.500
151,36.884,14.5646,16.221,0.842,9.99,2.408,0.790,16.255,0.053,-0.1437,0.0507,0.032,0.000,0.201,0.012,100.569
152,37.085,15.8751,16.341,0.851,9.58,2.415,0.788,16.412,0.067,-0.1179,0.0909,0.035,0.000,0.201,0.020,50.119
153,37.335,15.4869,16.463,0.860,9.16,2.421,0.785,16.568,0.082,-0.1295,0.2145,0.046,0.000,0.201,0.019,50.536
154,37.535,14.7831,16.584,0.870,8.79,2.445,0.783,16.724,0.099,-0.1160,0.3487,0.059,0.000,0.200,0.019,50.067
155,37.785,14.5897,16.707,0.879,8.45,2.471,0.780,16.724,0.099,-0.1023,0.1502,0.041,0.000,0.200,0.020,50.146
156,37.985,15.5826,16.832,0.888,8.12,2.503,0.771,16.880,0.118,-0.0926,0.1284,0.040,0.000,0.200,0.023,50.051
157,38.235,14.7163,16.958,0.898,7.80,2.528,0.763,17.036,0.139,-0.0986,0.1277,0.040,0.000,0.200,0.022,50.130
158,38.434,16.6178,17.086,0.908,7.53,2.544,0.754,17.191,0.161,-0.0997,0.2631,0.052,0.000,0.200,0.028,50.206
159,38.685,16.7394,17.213,0.917,7.26,2.560,0.744,17.347,0.185,-0.1037,-0.1957,0.012,0.000,0.201,0.027,49.967
160,38.934,16.0868,17.342,0.925,6.99,2.571,0.733,17.502,0.210,-0.0779,-0.0001,0.029,0.000,0.201,0.023,100.257
161,39.184,16.1898,17.471,0.933,6.69,2.551,0.720,17.656,0.237,-0.0724,0.1796,0.045,0.000,0.201,0.008,50.235
