step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
76,363.290,4563.4214,8.171,-0.293,-5.78,2.481,0.294,8.200,0.000,0.0921,0.0168,0.033,0.000,0.200,0.012,49.990
77,367.990,4494.7106,8.295,-0.303,-5.70,2.495,0.303,8.300,0.000,0.1207,-0.0301,0.029,0.000,0.200,0.009,50.284
78,372.790,4616.1276,8.420,-0.311,-5.58,2.505,0.312,8.400,0.000,0.1407,-0.0277,0.029,0.000,0.200,0.006,50.403
79,377.491,4488.0474,8.545,-0.319,-5.42,2.509,0.322,8.500,0.000,0.1393,-0.0608,0.026,0.000,0.199,0.002,50.139
80,382.240,4583.3735,8.671,-0.325,-5.21,2.510,0.326,8.700,0.000,0.1456,-0.0531,0.027,0.000,0.199,0.002,50.205
81,386.991,4536.8818,8.796,-0.329,-4.95,2.507,0.329,8.800,0.000,0.1459,-0.0302,0.029,0.000,0.198,0.001,49.986
82,391.590,4396.4006,8.922,-0.331,-4.66,2.505,0.332,8.900,0.000,0.1380,0.0261,0.034,0.000,0.198,0.006,99.928
83,396.290,4449.9791,9.047,-0.332,-4.33,2.510,0.336,9.000,0.000,0.1427,-0.0360,0.028,0.000,0.197,0.011,50.459
84,400.940,4458.9753,9.173,-0.332,-3.97,2.519,0.333,9.200,0.000,0.1451,-0.0371,0.028,0.000,0.197,0.023,50.413
85,405.591,4428.5151,9.299,-0.329,-3.59,2.520,0.329,9.300,0.000,0.1433,-0.0584,0.026,0.000,0.197,0.030,50.001
86,410.090,4333.8679,9.426,-0.326,-3.18,2.519,0.327,9.400,0.000,0.1224,-0.0549,0.026,0.000,0.197,0.030,50.351
87,414.891,4522.9341,9.552,-0.322,-2.78,2.518,0.325,9.600,0.000,0.1221,-0.0347,0.028,0.000,0.197,0.036,100.130
88,420.940,5875.7147,9.677,-0.318,-2.41,2.510,0.318,9.700,0.000,0.1173,0.0278,0.033,0.000,0.198,0.031,51.181
