step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz
63,2.826,2.1830,5.446,0.002,-0.21,2.488,0.046,5.400,0.000,-0.0576,-0.4241,0.000,0.004,0.200,-0.040
64,2.866,2.2590,5.544,-0.001,-0.30,2.448,0.044,5.500,0.000,-0.0631,-0.3884,0.000,0.001,0.200,-0.020
65,2.906,2.1253,5.640,-0.005,-0.41,2.399,0.040,5.600,0.000,-0.0741,-0.4332,0.000,0.005,0.200,0.017
66,2.945,2.3541,5.735,-0.009,-0.54,2.361,0.036,5.700,0.000,-0.0816,-0.3784,0.000,0.001,0.200,0.020
67,2.986,2.0008,5.829,-0.014,-0.69,2.323,0.032,5.800,0.000,-0.0852,-0.3611,0.000,0.000,0.199,-0.017
68,3.025,2.2628,5.921,-0.020,-0.86,2.280,0.029,5.900,0.000,-0.0868,-0.3318,0.002,0.000,0.199,-0.025
69,3.064,2.1464,6.011,-0.027,-1.05,2.244,0.029,6.000,0.000,-0.0935,-0.2694,0.007,0.000,0.199,0.011
70,3.105,4.0339,6.100,-0.034,-1.27,2.202,0.034,6.100,0.000,-0.0970,-0.1974,0.013,0.000,0.199,0.003
71,3.145,1.9831,6.187,-0.043,-1.50,2.158,0.045,6.200,0.000,-0.0954,-0.1193,0.020,0.000,0.199,-0.007
72,3.186,2.1165,6.272,-0.052,-1.75,2.140,0.059,6.300,0.000,-0.0984,-0.0918,0.022,0.000,0.199,-0.003
73,3.225,2.0335,6.357,-0.062,-2.01,2.113,0.075,6.400,0.000,-0.0946,-0.0064,0.030,0.000,0.199,0.004
74,3.265,1.9230,6.441,-0.073,-2.30,2.103,0.083,6.400,0.000,-0.0957,0.1143,0.040,0.000,0.199,0.010
75,3.305,2.0899,6.525,-0.084,-2.60,2.110,0.088,6.500,0.000,-0.0920,0.1310,0.042,0.000,0.199,0.013
76,3.345,2.0152,6.608,-0.097,-2.92,2.113,0.097,6.600,0.000,-0.0867,0.1816,0.047,0.000,0.200,-0.001
77,3.387,1.9847,6.693,-0.110,-3.26,2.126,0.110,6.700,0.000,-0.0737,0.2304,0.051,0.000,0.200,0.019
78,3.427,1.9547,6.777,-0.123,-3.58,2.162,0.126,6.800,0.000,-0.0655,0.2336,0.052,0.000,0.200,0.013
79,3.465,2.0153,6.863,-0.137,-3.89,2.192,0.142,6.900,0.000,-0.0516,0.2338,0.052,0.000,0.200,-0.014
80,3.506,2.0134,6.950,-0.151,-4.18,2.218,0.159,7.000,0.000,-0.0434,0.2469,0.054,0.000,0.201,0.011
81,3.545,2.4704,7.039,-0.164,-4.43,2.262,0.169,7.000,0.000,-0.0306,0.2402,0.053,0.000,0.201,0.026
82,3.586,1.9521,7.130,-0.177,-4.65,2.305,0.179,7.100,0.000,-0.0310,0.2495,0.054,0.000,0.201,-0.010
83,3.626,1.9142,7.222,-0.190,-4.84,2.335,0.191,7.200,0.000,-0.0224,0.1955,0.050,0.000,0.201,-0.008
84,3.665,2.6010,7.316,-0.201,-5.00,2.370,0.202,7.300,0.000,-0.0097,0.1836,0.049,0.000,0.201,0.019
85,3.706,3.7243,7.411,-0.213,-5.12,2.412,0.213,7.400,0.000,0.0061,0.0848,0.041,0.000,0.201,0.025
86,3.746,1.9779,7.507,-0.224,-5.22,2.443,0.224,7.500,0.000,0.0180,0.0855,0.041,0.000,0.201,-0.017
87,3.786,2.1418,7.605,-0.234,-5.28,2.471,0.234,7.600,0.000,0.0183,0.0559,0.038,0.000,0.201,-0.023
88,3.827,2.0006,7.703,-0.244,-5.31,2.485,0.244,7.700,0.000,0.0187,0.0477,0.038,0.000,0.201,0.005
89,3.865,2.2134,7.803,-0.252,-5.29,2.496,0.252,7.800,0.000,0.0293,0.0360,0.037,0.000,0.200,0.024
90,3.906,2.7919,7.903,-0.260,-5.25,2.518,0.260,7.900,0.000,0.0395,0.0002,0.033,0.000,0.200,-0.004
91,3.945,1.8531,8.003,-0.268,-5.20,2.526,0.268,8.000,0.000,0.0505,-0.0183,0.032,0.000,0.200,-0.038
92,3.986,1.9937,8.103,-0.275,-5.13,2.539,0.275,8.100,0.000,0.0593,-0.0502,0.029,0.000,0.200,-0.028
93,4.026,1.9507,8.204,-0.281,-5.04,2.535,0.281,8.200,0.000,0.0711,-0.0606,0.028,0.000,0.200,0.024
94,4.066,1.9816,8.306,-0.287,-4.93,2.539,0.287,8.300,0.000,0.0772,-0.0700,0.027,0.000,0.199,0.029
95,4.105,2.0148,8.408,-0.291,-4.78,2.553,0.291,8.400,0.000,0.0681,-0.0993,0.024,0.000,0.199,-0.022
96,4.145,2.0396,8.510,-0.295,-4.61,2.546,0.295,8.500,0.000,0.0638,-0.0904,0.025,0.000,0.199,-0.050
97,4.189,2.0084,8.612,-0.298,-4.43,2.539,0.298,8.600,0.000,0.0711,-0.0774,0.026,0.000,0.199,-0.027
98,4.228,2.4971,8.714,-0.300,-4.21,2.541,0.300,8.700,0.000,0.0695,-0.1064,0.023,0.000,0.198,0.017
99,4.265,2.4911,8.815,-0.300,-3.98,2.528,0.301,8.800,0.000,0.0806,-0.1168,0.022,0.000,0.198,0.038
100,4.305,2.2398,8.917,-0.300,-3.72,2.541,0.301,8.900,0.000,0.0770,-0.1414,0.020,0.000,0.197,-0.004
101,4.345,2.0040,9.018,-0.299,-3.45,2.530,0.299,9.000,0.000,0.0774,-0.1207,0.022,0.000,0.197,-0.053
102,4.386,2.0475,9.119,-0.297,-3.17,2.502,0.298,9.100,0.000,0.0705,-0.0969,0.024,0.000,0.197,-0.030
103,4.425,2.2269,9.220,-0.294,-2.87,2.507,0.295,9.200,0.000,0.0651,-0.1033,0.023,0.000,0.197,0.013
104,4.466,2.0571,9.319,-0.291,-2.56,2.505,0.292,9.300,0.000,0.0548,-0.0899,0.024,0.000,0.197,0.049
105,4.505,2.0722,9.419,-0.287,-2.27,2.493,0.288,9.400,0.000,0.0502,-0.0838,0.024,0.000,0.197,0.021
106,4.545,2.0640,9.519,-0.284,-2.02,2.479,0.285,9.500,0.000,0.0414,-0.0634,0.026,0.000,0.198,-0.027
107,4.585,2.1418,9.618,-0.282,-1.80,2.474,0.282,9.600,0.000,0.0323,-0.0676,0.026,0.000,0.198,-0.014
108,4.625,2.3007,9.717,-0.279,-1.60,2.469,0.280,9.700,0.000,0.0214,-0.0440,0.028,0.000,0.199,0.019
109,4.665,2.1255,9.816,-0.277,-1.42,2.464,0.278,9.800,0.000,0.0102,-0.0623,0.026,0.000,0.199,0.038
110,4.706,2.0382,9.915,-0.276,-1.29,2.452,0.276,9.900,0.000,0.0077,-0.0647,0.026,0.000,0.199,0.012
111,4.746,1.9777,10.013,-0.276,-1.19,2.453,0.276,10.000,0.000,0.0071,-0.1025,0.022,0.000,0.199,-0.006
112,4.786,1.9671,10.111,-0.276,-1.12,2.450,0.276,10.100,0.000,0.0085,-0.1306,0.020,0.000,0.200,-0.026
113,4.826,1.9364,10.208,-0.277,-1.08,2.434,0.277,10.200,0.000,0.0208,-0.1493,0.018,0.000,0.200,0.014
114,4.865,2.0802,10.306,-0.278,-1.06,2.419,0.278,10.300,0.000,0.0283,-0.0998,0.022,0.000,0.200,0.015
115,4.905,2.3023,10.402,-0.279,-1.04,2.417,0.279,10.400,0.000,0.0417,-0.0962,0.022,0.000,0.199,-0.007
116,4.945,2.0089,10.499,-0.279,-0.99,2.407,0.279,10.500,0.000,0.0520,-0.0515,0.026,0.000,0.199,-0.027
117,4.987,2.1335,10.595,-0.279,-0.92,2.408,0.279,10.600,0.000,0.0628,-0.1267,0.019,0.000,0.199,-0.011
118,5.025,1.9291,10.691,-0.278,-0.83,2.387,0.278,10.700,0.000,0.0757,-0.2334,0.010,0.000,0.199,0.018
119,5.066,2.1745,10.787,-0.276,-0.74,2.399,0.277,10.800,0.000,0.0964,-0.2575,0.007,0.000,0.198,-0.008
120,5.105,2.0490,10.881,-0.274,-0.61,2.387,0.275,10.900,0.000,0.1183,-0.2532,0.007,0.000,0.198,-0.031
121,5.146,1.9493,10.976,-0.271,-0.45,2.361,0.272,11.000,0.000,0.1228,-0.3115,0.002,0.000,0.198,-0.013
122,5.187,2.0000,11.070,-0.266,-0.28,2.326,0.268,11.100,0.000,0.1343,-0.3111,0.002,0.000,0.198,0.012
123,5.225,1.9222,11.163,-0.260,-0.07,2.308,0.263,11.200,0.000,0.1507,-0.2720,0.005,0.000,0.197,-0.001
124,5.265,2.0287,11.255,-0.254,0.18,2.281,0.258,11.300,0.000,0.1608,-0.1823,0.012,0.000,0.197,-0.050
125,5.305,1.8945,11.345,-0.246,0.44,2.241,0.250,11.300,0.000,0.1700,-0.1631,0.014,0.000,0.196,-0.014
126,5.345,2.0024,11.434,-0.236,0.75,2.212,0.239,11.400,0.000,0.1716,-0.0927,0.020,0.000,0.196,0.010
127,5.386,1.9493,11.522,-0.225,1.09,2.205,0.227,11.500,0.000,0.1691,-0.0244,0.026,0.000,0.195,-0.015
128,5.425,2.2670,11.610,-0.213,1.46,2.176,0.214,11.600,0.000,0.1694,0.0660,0.034,0.000,0.195,-0.033
129,5.465,2.0037,11.697,-0.200,1.87,2.188,0.200,11.700,0.000,0.1703,0.1563,0.042,0.000,0.195,0.001
130,5.506,2.0773,11.783,-0.185,2.31,2.184,0.186,11.800,0.000,0.1617,0.1641,0.043,0.000,0.195,0.016
131,5.546,2.0004,11.870,-0.168,2.76,2.201,0.171,11.900,0.000,0.1639,0.1835,0.045,0.000,0.195,-0.007
132,5.585,2.1119,11.958,-0.151,3.26,2.219,0.156,12.000,0.000,0.1621,0.1948,0.046,0.000,0.195,-0.004
133,5.626,2.0054,12.046,-0.131,3.78,2.237,0.139,12.000,0.000,0.1664,0.2530,0.051,0.000,0.195,-0.003
134,5.666,2.1496,12.135,-0.110,4.31,2.260,0.115,12.100,0.000,0.1630,0.2100,0.048,0.000,0.195,0.017
135,5.705,1.9652,12.224,-0.087,4.89,2.289,0.090,12.200,0.000,0.1701,0.1879,0.046,0.000,0.195,0.016
136,5.744,2.0273,12.314,-0.062,5.50,2.307,0.064,12.300,0.000,0.1843,0.2258,0.050,0.000,0.195,-0.022
137,5.787,1.8836,12.404,-0.037,6.10,2.348,0.037,12.400,0.000,0.2030,0.1451,0.043,0.000,0.196,-0.001
138,5.827,2.0792,12.495,-0.010,6.73,2.357,0.011,12.500,0.000,0.2133,0.0726,0.036,0.000,0.196,0.032
139,5.865,2.0551,12.587,0.020,7.37,2.363,0.024,12.600,0.000,0.2392,-0.0025,0.030,0.000,0.196,0.010
140,5.906,3.0604,12.679,0.051,8.05,2.398,0.055,12.700,0.000,0.2578,-0.0526,0.025,0.000,0.196,-0.028
141,5.946,2.1790,12.771,0.084,8.78,2.391,0.089,12.800,0.000,0.2681,-0.0954,0.022,0.000,0.196,-0.028
142,5.985,1.9566,12.862,0.119,9.52,2.369,0.125,12.900,0.000,0.2904,-0.1347,0.018,0.000,0.195,-0.034
143,6.025,1.9561,12.952,0.157,10.30,2.388,0.164,13.000,0.000,0.3000,-0.1808,0.014,0.000,0.195,-0.006
144,6.065,2.0050,13.041,0.197,11.14,2.357,0.201,13.000,0.000,0.3000,-0.1828,0.013,0.000,0.194,0.014
145,6.105,1.9003,13.127,0.238,11.99,2.321,0.240,13.100,0.000,0.3000,-0.1858,0.013,0.000,0.193,0.002
146,6.146,1.8684,13.212,0.282,12.90,2.319,0.282,13.200,0.000,0.3000,-0.1910,0.012,0.000,0.193,0.000
147,6.187,2.5917,13.295,0.328,13.83,2.286,0.328,13.300,0.000,0.3000,-0.2568,0.006,0.000,0.193,-0.023
148,6.227,2.1720,13.377,0.376,14.79,2.248,0.376,13.400,0.000,0.3000,-0.2484,0.006,0.000,0.193,-0.013
149,6.265,2.0298,13.456,0.425,15.78,2.227,0.428,13.500,0.000,0.3000,-0.2699,0.004,0.000,0.193,-0.001
150,6.306,2.1686,13.533,0.477,16.80,2.197,0.478,13.500,0.000,0.3000,-0.2600,0.005,0.000,0.193,0.027
151,6.346,2.0070,13.608,0.530,17.84,2.166,0.530,13.600,0.000,0.3000,-0.3103,0.000,0.000,0.194,0.025
152,6.386,2.0043,13.680,0.584,18.90,2.137,0.585,13.700,0.000,0.3000,-0.2426,0.006,0.000,0.194,0.011
153,6.426,1.9863,13.751,0.641,19.97,2.122,0.643,13.800,0.000,0.2810,-0.3331,0.000,0.003,0.194,-0.005
154,6.466,1.9969,13.819,0.698,21.07,2.092,0.699,13.800,0.000,0.2467,-0.2658,0.003,0.000,0.195,0.003
155,6.506,2.0954,13.886,0.757,22.18,2.087,0.758,13.900,0.000,0.1951,-0.2994,0.000,0.000,0.195,0.008
156,6.546,2.0179,13.950,0.816,23.24,2.084,0.817,14.000,0.000,0.1553,-0.3549,0.000,0.006,0.196,0.035
157,6.586,2.0111,14.016,0.875,24.24,2.089,0.875,14.000,0.000,0.1073,-0.3434,0.000,0.005,0.197,0.055
158,6.627,1.9312,14.082,0.933,25.14,2.095,0.933,14.100,0.000,0.0652,-0.2822,0.000,0.000,0.198,0.048
159,6.666,2.4466,14.147,0.989,25.95,2.112,0.990,14.100,0.000,0.0078,-0.2729,0.000,0.000,0.199,-0.035
160,6.705,3.8394,14.214,1.044,26.65,2.092,1.044,14.200,0.000,-0.0609,-0.2670,0.000,0.000,0.200,-0.013
161,6.746,2.2493,14.282,1.096,27.25,2.077,1.096,14.300,0.000,-0.1245,-0.3295,0.000,0.005,0.200,0.065
162,6.785,2.1183,14.350,1.145,27.72,2.073,1.147,14.300,0.000,-0.1863,-0.3212,0.000,0.005,0.200,0.026
163,6.826,4.7101,14.419,1.192,28.04,2.067,1.192,14.400,0.000,-0.2301,-0.3137,0.000,0.005,0.200,-0.043
164,6.865,2.0012,14.489,1.234,28.23,2.016,1.234,14.500,0.000,-0.2688,-0.2252,0.003,0.000,0.201,0.005
165,6.917,2.1138,14.559,1.272,28.25,1.993,1.273,14.600,0.000,-0.2990,-0.2347,0.002,0.000,0.200,0.024
166,6.957,2.5476,14.630,1.307,28.14,1.965,1.308,14.600,0.000,-0.3000,-0.1945,0.005,0.000,0.201,-0.006
167,6.997,2.2992,14.701,1.340,27.96,1.933,1.340,14.700,0.000,-0.3000,-0.1915,0.005,0.000,0.201,-0.009
168,7.037,2.2312,14.773,1.370,27.71,1.933,1.370,14.800,0.000,-0.3000,-0.1483,0.008,0.000,0.201,-0.021
169,7.077,2.5350,14.845,1.398,27.41,1.899,1.398,14.800,0.000,-0.3000,-0.1641,0.007,0.000,0.201,-0.004
170,7.116,2.2380,14.917,1.423,27.02,1.876,1.423,14.900,0.000,-0.3000,-0.1091,0.012,0.000,0.201,0.004
171,7.157,2.0932,14.988,1.445,26.56,1.853,1.445,15.000,0.000,-0.3000,-0.0172,0.020,0.000,0.201,-0.017
172,7.197,2.1626,15.060,1.465,26.04,1.831,1.466,15.000,0.000,-0.3000,0.0375,0.024,0.000,0.201,0.015
173,7.236,2.0002,15.133,1.483,25.45,1.798,1.482,15.157,0.001,-0.3000,0.1112,0.031,0.000,0.201,-0.033
174,7.277,1.9917,15.205,1.497,24.82,1.795,1.497,15.157,0.001,-0.3000,0.1315,0.033,0.000,0.201,0.026
175,7.316,2.0239,15.277,1.510,24.11,1.761,1.507,15.314,0.003,-0.3000,0.1803,0.037,0.000,0.201,-0.024
176,7.358,2.0894,15.350,1.519,23.35,1.739,1.516,15.314,0.003,-0.3000,0.2574,0.044,0.000,0.202,0.037
177,7.396,4.5601,15.422,1.526,22.54,1.746,1.519,15.471,0.007,-0.3000,0.2773,0.047,0.000,0.203,-0.012
178,7.437,2.2727,15.496,1.530,21.68,1.731,1.523,15.628,0.013,-0.3000,0.3165,0.050,0.000,0.204,0.055
179,7.477,2.0930,15.569,1.532,20.77,1.723,1.520,15.628,0.013,-0.2979,0.3734,0.056,0.000,0.204,0.017
180,7.516,2.2772,15.643,1.531,19.80,1.725,1.517,15.785,0.021,-0.2962,0.4554,0.064,0.000,0.206,0.038
181,7.556,2.7907,15.716,1.527,18.76,1.727,1.508,15.785,0.021,-0.2928,0.4836,0.067,0.000,0.207,0.009
182,7.597,1.9645,15.792,1.521,17.69,1.750,1.499,15.942,0.030,-0.2938,0.5325,0.072,0.000,0.208,0.036
