step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,obs_clear
57.000000,2.850000,29.615600,7.094028,-0.023681,-1.883173,2.502795,0.024423,7.100000,0.000000,0.028584,0.161579,0.000000,0.000000,0.000000,0.000000,0.612164
58.000000,2.900000,29.838300,7.219100,-0.027794,-1.746504,2.510874,0.033724,7.200000,0.000000,-0.096134,-0.297025,0.000000,0.000000,0.000000,0.000000,0.518138
59.000000,2.950000,29.196400,7.344585,-0.031620,-2.208931,2.496023,0.054660,7.300000,0.000000,-0.032072,-0.285350,0.000000,0.000000,0.000000,0.000000,0.437133
60.000000,3.000000,29.106800,7.469294,-0.036430,-2.361874,2.481756,0.047645,7.500000,0.000000,0.013002,-0.263270,0.000000,0.000000,0.000000,0.000000,0.357553
61.000000,3.050000,29.956800,7.593276,-0.041544,-2.300245,2.468592,0.042085,7.600000,0.000000,0.007574,-0.401252,0.000000,0.000000,0.000000,0.000000,0.279590
62.000000,3.100000,29.828200,7.716606,-0.046498,-2.264536,2.448530,0.049374,7.700000,0.000000,-0.100109,0.265482,0.000000,0.000000,0.000000,0.000000,0.207814
63.000000,3.150000,29.832400,7.838937,-0.051335,-2.734251,2.461804,0.064432,7.800000,0.000000,-0.060675,0.003524,0.000000,0.000000,0.000000,0.000000,0.155702
64.000000,3.200000,29.715000,7.961887,-0.057207,-3.019877,2.461980,0.068740,8.000000,0.000000,-0.125123,-0.117831,0.000000,0.000000,0.000000,0.000000,0.108063
65.000000,3.250000,30.290700,8.084815,-0.063692,-3.611299,2.456088,0.065478,8.100000,0.000000,-0.134031,-0.198291,0.000000,0.000000,0.000000,0.000000,0.079746
66.000000,3.300000,30.843700,8.207376,-0.071428,-4.243803,2.446174,0.071807,8.200000,0.000000,-0.057563,-0.009478,0.000000,0.000000,0.000000,0.000000,0.065454
67.000000,3.350000,30.135000,8.329349,-0.080479,-4.513026,2.445700,0.085663,8.300000,0.000000,-0.095759,-0.340661,0.000000,0.000000,0.000000,0.000000,0.051139
68.000000,3.400000,30.067500,8.451255,-0.090101,-4.961684,2.428667,0.102441,8.500000,0.000000,-0.051598,-0.193228,0.000000,0.000000,0.000000,0.000000,0.054632
69.000000,3.450000,29.778200,8.572233,-0.100603,-5.201229,2.419005,0.104365,8.600000,0.000000,0.082423,0.492396,0.000000,0.000000,0.000000,0.000000,0.061750
70.000000,3.500000,29.451300,8.692686,-0.111568,-4.819575,2.443625,0.111807,8.700000,0.000000,0.037868,0.212481,0.000000,0.000000,0.000000,0.000000,0.054036
71.000000,3.550000,29.475700,8.814435,-0.121833,-4.642762,2.454249,0.122686,8.800000,0.000000,0.071782,0.457138,0.000000,0.000000,0.000000,0.000000,0.062823
72.000000,3.600000,29.659300,8.936745,-0.131766,-4.305723,2.477106,0.136794,8.900000,0.000000,0.016968,-0.164849,0.000000,0.000000,0.000000,0.000000,0.073636
73.000000,3.650000,29.364800,9.060250,-0.141065,-4.225441,2.468864,0.146558,9.100000,0.000000,0.044832,0.323433,0.000000,0.000000,0.000000,0.000000,0.103682
74.000000,3.700000,29.788300,9.183358,-0.150160,-4.013907,2.485035,0.151080,9.200000,0.000000,-0.078025,-1.454038,0.000000,0.000000,0.000000,0.000000,0.136438
75.000000,3.750000,29.821700,9.307305,-0.158858,-4.384973,2.412334,0.159026,9.300000,0.000000,0.025885,0.202564,0.000000,0.000000,0.000000,0.000000,0.201932
76.000000,3.800000,30.597600,9.427569,-0.168080,-4.265689,2.422462,0.170326,9.400000,0.000000,0.052282,-0.162175,0.000000,0.000000,0.000000,0.000000,0.252863
77.000000,3.850000,29.543900,9.548356,-0.177089,-4.023581,2.414353,0.183573,9.500000,0.000000,-0.002007,-0.165862,0.000000,0.000000,0.000000,0.000000,0.305057
78.000000,3.900000,30.087000,9.668776,-0.185560,-4.032834,2.406060,0.188168,9.700000,0.000000,0.073564,0.608141,0.000000,0.000000,0.000000,0.000000,0.373000
