step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
166,39.186,36.4353,19.364,0.914,11.81,2.563,0.258,19.486,0.686,0.1642,-0.1993,0.018,0.000,0.197,0.031,50.272
167,39.486,36.2906,19.486,0.953,12.30,2.553,0.265,19.635,0.734,0.1840,-0.0216,0.033,0.000,0.197,0.027,100.056
168,39.686,36.1999,19.607,0.993,12.79,2.528,0.261,19.635,0.734,0.1596,-0.0768,0.028,0.000,0.197,0.023,50.368
169,39.936,41.7559,19.727,1.035,13.28,2.534,0.258,19.784,0.783,0.1545,0.0063,0.035,0.000,0.197,0.032,50.328
170,40.135,37.0687,19.847,1.076,13.76,2.532,0.257,19.933,0.834,0.1662,-0.0181,0.033,0.000,0.197,0.033,50.293
171,40.386,35.2418,19.968,1.119,14.20,2.533,0.258,20.081,0.887,0.2275,-0.1177,0.024,0.000,0.197,0.022,50.352
172,40.586,37.1275,20.088,1.162,14.63,2.535,0.263,20.229,0.941,0.1997,-0.0175,0.033,0.000,0.197,0.003,50.532
173,40.836,37.5326,20.207,1.208,15.12,2.542,0.268,20.229,0.941,0.1667,-0.0156,0.033,0.000,0.197,-0.004,50.254
174,41.035,36.5293,20.326,1.256,15.68,2.537,0.264,20.376,0.996,0.1623,0.0771,0.041,0.000,0.197,0.010,50.153
175,41.286,38.2982,20.445,1.304,16.22,2.552,0.262,20.522,1.053,0.1634,-0.1287,0.023,0.000,0.197,0.022,50.131
176,41.486,36.7216,20.564,1.352,16.69,2.559,0.262,20.668,1.112,0.1468,-0.1745,0.019,0.000,0.198,0.014,50.168
177,41.736,36.7091,20.683,1.402,17.12,2.549,0.264,20.813,1.172,0.1592,0.0081,0.035,0.000,0.198,0.010,49.960
178,41.936,36.5721,20.801,1.451,17.55,2.539,0.268,20.957,1.234,0.1695,-0.1828,0.018,0.000,0.198,-0.006,50.276
179,42.186,34.8391,20.918,1.501,17.98,2.542,0.270,20.957,1.234,0.1656,-0.0340,0.031,0.000,0.198,-0.016,50.277
180,42.386,36.8214,21.035,1.552,18.44,2.536,0.264,21.101,1.297,0.2080,-0.0045,0.034,0.000,0.197,-0.023,50.390
181,42.636,34.7368,21.150,1.605,18.92,2.532,0.261,21.244,1.361,0.1785,0.1168,0.044,0.000,0.196,-0.035,50.128
182,42.836,35.7387,21.266,1.659,19.42,2.549,0.261,21.387,1.428,0.1813,-0.1283,0.023,0.000,0.196,-0.039,50.192
