step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz
92,4.386,20.2665,9.607,-0.325,-3.38,2.404,0.325,9.600,0.000,0.0570,-0.0223,0.022,0.000,0.198,0.022
93,4.427,15.0810,9.751,-0.326,-3.10,2.403,0.329,9.800,0.000,0.0447,0.0024,0.024,0.000,0.199,-0.021
94,4.486,24.6120,9.848,-0.325,-2.90,2.408,0.329,9.800,0.000,0.0447,0.0733,0.031,0.000,0.199,0.033
95,4.525,15.1614,9.991,-0.324,-2.62,2.394,0.325,10.000,0.000,0.0599,0.1688,0.039,0.000,0.199,0.005
96,4.587,28.9446,10.087,-0.324,-2.43,2.399,0.324,10.100,0.000,0.0372,-0.0015,0.024,0.000,0.199,0.036
97,4.627,15.1457,10.231,-0.323,-2.19,2.417,0.324,10.200,0.000,0.0514,0.0241,0.027,0.000,0.199,0.017
98,4.666,14.3826,10.328,-0.321,-2.01,2.428,0.322,10.300,0.000,0.0273,0.0487,0.029,0.000,0.199,0.035
99,4.727,24.7417,10.425,-0.319,-1.84,2.415,0.320,10.400,0.000,0.0531,-0.0630,0.019,0.000,0.199,-0.006
100,4.767,14.7428,10.570,-0.317,-1.58,2.417,0.319,10.600,0.000,0.0677,-0.2250,0.004,0.000,0.199,0.031
101,4.805,14.7750,10.667,-0.316,-1.45,2.403,0.318,10.700,0.000,0.0602,-0.4328,0.000,0.014,0.199,-0.010
102,4.846,14.2799,10.763,-0.315,-1.33,2.383,0.317,10.800,0.000,0.0968,-0.4395,0.000,0.015,0.200,-0.029
103,4.887,16.7118,10.856,-0.312,-1.18,2.353,0.315,10.900,0.000,0.0785,-0.5579,0.000,0.026,0.199,-0.008
104,4.926,16.2476,10.949,-0.309,-1.01,2.284,0.313,10.900,0.000,0.1001,-0.5754,0.000,0.029,0.198,0.005
105,4.966,14.4068,11.040,-0.305,-0.81,2.248,0.308,11.000,0.000,0.0842,-0.4646,0.000,0.020,0.197,-0.032
106,5.006,14.3580,11.129,-0.301,-0.59,2.205,0.302,11.100,0.000,0.1365,-0.6967,0.000,0.041,0.197,-0.040
107,5.066,21.4602,11.216,-0.295,-0.36,2.147,0.295,11.200,0.000,0.1053,-0.5003,0.000,0.024,0.196,-0.006
108,5.125,24.4594,11.343,-0.285,0.01,2.079,0.288,11.300,0.000,0.1250,-0.5894,0.000,0.033,0.196,0.002
109,5.166,14.8464,11.466,-0.272,0.44,2.041,0.274,11.500,0.000,0.1278,-0.3226,0.000,0.010,0.195,-0.000
110,5.205,16.5421,11.547,-0.263,0.75,2.020,0.267,11.500,0.000,0.1406,-0.4628,0.000,0.023,0.195,0.009
111,5.246,15.3286,11.626,-0.253,1.07,1.985,0.254,11.600,0.000,0.1244,-0.5693,0.000,0.033,0.195,-0.012
112,5.285,14.1435,11.706,-0.242,1.42,1.982,0.242,11.700,0.000,0.1281,-0.2856,0.000,0.008,0.195,0.017
113,5.326,14.0851,11.784,-0.230,1.79,1.966,0.230,11.800,0.000,0.1429,-0.2642,0.000,0.007,0.195,0.016
114,5.365,14.0452,11.862,-0.217,2.17,1.958,0.220,11.900,0.000,0.1195,-0.1279,0.005,0.000,0.195,-0.009
