step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,step_ms
79,19.385,10.7402,8.524,-0.298,-4.65,2.583,0.299,8.500,0.000,0.1328,-0.0665,0.027,0.000,0.199,-0.036,100.322
80,19.585,11.1257,8.653,-0.301,-4.39,2.587,0.305,8.700,0.000,0.1363,-0.0775,0.026,0.000,0.198,-0.031,50.306
81,19.884,11.8613,8.782,-0.303,-4.10,2.584,0.303,8.800,0.000,0.1471,-0.1005,0.023,0.000,0.198,-0.028,100.328
82,20.134,11.4012,8.911,-0.303,-3.78,2.577,0.303,8.900,0.000,0.1300,-0.0775,0.025,0.000,0.197,-0.023,100.226
83,20.385,10.8912,9.039,-0.301,-3.43,2.569,0.304,9.000,0.000,0.1283,-0.1225,0.021,0.000,0.197,-0.016,49.820
84,20.635,12.2021,9.167,-0.298,-3.06,2.560,0.300,9.200,0.000,0.1293,-0.1134,0.022,0.000,0.197,-0.001,99.872
85,20.885,12.1994,9.295,-0.295,-2.69,2.545,0.295,9.300,0.000,0.1282,-0.1635,0.017,0.000,0.197,0.010,50.207
86,21.136,11.5400,9.422,-0.291,-2.33,2.528,0.291,9.400,0.000,0.1184,-0.1339,0.020,0.000,0.197,0.016,99.937
87,21.436,10.9043,9.548,-0.286,-1.98,2.506,0.289,9.500,0.000,0.0858,-0.1304,0.020,0.000,0.197,0.021,100.032
88,21.635,10.0267,9.673,-0.280,-1.64,2.491,0.282,9.700,0.000,0.0533,-0.0978,0.023,0.000,0.197,0.027,49.545
89,21.884,10.6292,9.797,-0.276,-1.34,2.479,0.276,9.800,0.000,0.0383,-0.0708,0.025,0.000,0.198,0.031,50.130
90,22.085,9.7812,9.921,-0.273,-1.11,2.465,0.274,9.900,0.000,0.0225,-0.0791,0.024,0.000,0.198,0.027,50.504
91,22.385,10.0791,10.044,-0.271,-0.96,2.451,0.274,10.000,0.000,0.0177,-0.0873,0.023,0.000,0.199,0.028,100.425
92,22.634,12.1441,10.166,-0.270,-0.86,2.432,0.273,10.200,0.000,0.0166,-0.1274,0.020,0.000,0.199,0.026,100.227
93,22.934,11.9239,10.288,-0.271,-0.81,2.422,0.271,10.300,0.000,0.0333,-0.1352,0.019,0.000,0.199,0.017,100.055
94,23.184,9.9219,10.409,-0.271,-0.76,2.416,0.271,10.400,0.000,0.0473,-0.1631,0.016,0.000,0.199,0.003,100.005
95,23.486,9.9925,10.529,-0.271,-0.71,2.404,0.272,10.500,0.000,0.0490,-0.2313,0.010,0.000,0.199,-0.005,100.306
96,23.684,10.9312,10.649,-0.270,-0.62,2.386,0.274,10.600,0.000,0.0668,-0.2642,0.007,0.000,0.198,-0.011,50.624
97,23.985,11.5294,10.767,-0.268,-0.51,2.360,0.270,10.800,0.000,0.1084,-0.2723,0.006,0.000,0.198,-0.026,100.122
98,24.186,11.4078,10.884,-0.265,-0.37,2.326,0.266,10.900,0.000,0.1405,-0.3229,0.001,0.000,0.198,-0.032,50.131
99,24.435,11.7376,10.999,-0.261,-0.21,2.293,0.261,11.000,0.000,0.1931,-0.3399,0.000,0.001,0.198,-0.036,49.672
100,24.635,10.0233,11.113,-0.256,-0.02,2.244,0.256,11.100,0.000,0.2183,-0.3270,0.000,0.000,0.197,-0.030,49.961
101,24.884,11.7749,11.224,-0.249,0.21,2.199,0.250,11.200,0.000,0.2487,-0.2854,0.003,0.000,0.197,-0.009,50.556
102,25.135,12.3564,11.333,-0.240,0.49,2.165,0.243,11.300,0.000,0.2694,-0.2291,0.007,0.000,0.196,-0.008,99.875
103,25.434,11.8690,11.441,-0.230,0.82,2.135,0.234,11.400,0.000,0.2912,-0.1797,0.012,0.000,0.196,0.003,100.526
104,25.684,9.9964,11.546,-0.218,1.20,2.107,0.223,11.500,0.000,0.2907,-0.1163,0.017,0.000,0.195,0.003,100.023
105,25.934,10.3677,11.651,-0.204,1.62,2.087,0.210,11.700,0.000,0.2961,-0.0285,0.025,0.000,0.195,-0.001,50.276
106,26.136,12.1999,11.754,-0.188,2.09,2.059,0.193,11.800,0.000,0.2959,0.0622,0.033,0.000,0.195,-0.001,50.545
107,26.385,10.0687,11.857,-0.170,2.60,2.071,0.175,11.900,0.000,0.2923,0.1073,0.037,0.000,0.195,-0.013,49.554
108,26.635,11.8114,11.960,-0.149,3.15,2.086,0.155,12.000,0.000,0.2842,0.1763,0.043,0.000,0.195,-0.001,100.132
109,26.884,10.5536,12.063,-0.127,3.75,2.111,0.132,12.100,0.000,0.2821,0.1777,0.043,0.000,0.195,0.011,50.815
110,27.134,12.2660,12.167,-0.102,4.38,2.127,0.107,12.200,0.000,0.2878,0.1992,0.045,0.000,0.195,0.002,99.948
111,27.385,10.2164,12.273,-0.075,5.05,2.157,0.080,12.300,0.000,0.3082,0.1790,0.044,0.000,0.196,0.007,50.173
112,27.586,13.8596,12.379,-0.046,5.75,2.188,0.051,12.400,0.000,0.3296,0.1753,0.044,0.000,0.196,0.016,50.023
113,27.885,9.7378,12.486,-0.015,6.47,2.209,0.020,12.500,0.000,0.3682,0.1659,0.043,0.000,0.196,0.024,99.652
114,28.085,9.9584,12.594,0.019,7.24,2.222,0.020,12.600,0.000,0.3869,0.2208,0.048,0.000,0.196,0.025,50.151
115,28.386,10.0986,12.703,0.056,8.05,2.251,0.056,12.700,0.000,0.4295,0.2012,0.047,0.000,0.196,0.015,99.970
116,28.635,9.9126,12.812,0.096,8.90,2.286,0.097,12.800,0.000,0.4665,0.2231,0.049,0.000,0.196,0.020,99.564
117,28.884,11.4434,12.921,0.139,9.81,2.314,0.141,12.900,0.000,0.5046,0.1659,0.044,0.000,0.195,0.012,50.000
118,29.085,9.8196,13.030,0.186,10.79,2.327,0.189,13.000,0.000,0.5340,0.0100,0.031,0.000,0.195,0.020,50.334
119,29.385,11.0098,13.140,0.237,11.86,2.333,0.241,13.100,0.000,0.5340,-0.0442,0.026,0.000,0.195,0.026,100.111
120,29.585,9.9121,13.247,0.293,12.99,2.339,0.297,13.200,0.000,0.5340,-0.0757,0.023,0.000,0.195,0.030,50.813
121,29.884,11.2155,13.353,0.352,14.20,2.341,0.355,13.400,0.000,0.5340,-0.1673,0.015,0.000,0.195,0.021,100.046
122,30.134,9.9582,13.456,0.415,15.46,2.323,0.417,13.500,0.000,0.5340,-0.2470,0.007,0.000,0.195,0.013,100.055
123,30.385,9.6571,13.556,0.481,16.78,2.274,0.483,13.600,0.000,0.5340,-0.2160,0.010,0.000,0.195,0.000,50.151
124,30.584,9.4800,13.653,0.550,18.14,2.224,0.552,13.700,0.000,0.5340,-0.1986,0.011,0.000,0.195,-0.002,50.115
125,30.885,10.1254,13.745,0.622,19.53,2.186,0.624,13.700,0.000,0.5078,-0.3190,0.000,0.000,0.195,-0.005,100.396
126,31.135,10.2594,13.834,0.696,20.94,2.163,0.697,13.800,0.000,0.4163,-0.2902,0.002,0.000,0.195,0.004,99.883
127,31.386,10.9528,13.920,0.772,22.33,2.157,0.772,13.900,0.000,0.3092,-0.2329,0.007,0.000,0.196,0.010,50.073
128,31.585,12.1228,14.006,0.847,23.64,2.163,0.847,14.000,0.000,0.1854,-0.2624,0.004,0.000,0.197,0.032,49.602
129,31.885,8.7183,14.092,0.920,24.77,2.164,0.920,14.100,0.000,0.0744,-0.2299,0.007,0.000,0.198,0.035,100.321
130,32.085,7.7241,14.178,0.990,25.72,2.160,0.990,14.200,0.000,-0.0502,-0.3105,0.000,0.001,0.199,0.019,50.273
131,32.385,7.8829,14.266,1.056,26.49,2.150,1.056,14.300,0.000,-0.1797,-0.3124,0.000,0.001,0.199,0.018,100.207
132,32.635,7.5333,14.354,1.116,27.03,2.113,1.117,14.400,0.000,-0.3086,-0.3388,0.000,0.004,0.200,-0.026,100.028
133,32.884,8.1137,14.443,1.171,27.33,2.071,1.172,14.400,0.000,-0.3931,-0.3011,0.000,0.001,0.200,-0.046,50.167
134,33.135,9.6391,14.533,1.219,27.38,2.020,1.219,14.500,0.000,-0.4758,-0.3363,0.000,0.005,0.200,-0.021,100.022
135,33.435,7.5385,14.624,1.262,27.26,1.981,1.262,14.600,0.000,-0.5131,-0.3166,0.000,0.003,0.200,-0.007,100.155
136,33.634,8.0597,14.714,1.302,27.03,1.966,1.302,14.700,0.000,-0.5340,-0.1631,0.010,0.000,0.200,0.006,50.015
137,33.885,2.7386,14.805,1.338,26.71,1.937,1.338,14.800,0.000,-0.5340,-0.1702,0.009,0.000,0.200,-0.014,50.187
138,34.085,6.6785,14.896,1.369,26.28,1.900,1.369,14.900,0.000,-0.5340,-0.2047,0.006,0.000,0.200,-0.007,50.221
139,34.384,3.4863,14.988,1.397,25.72,1.870,1.397,15.000,0.000,-0.5340,-0.1329,0.012,0.000,0.201,0.012,100.011
140,34.585,2.4655,15.079,1.421,25.05,1.855,1.423,15.157,0.001,-0.5317,-0.1329,0.012,0.000,0.201,0.034,50.152
141,34.884,2.8162,15.170,1.441,24.30,1.814,1.440,15.157,0.001,-0.5340,-0.0514,0.019,0.000,0.201,-0.028,100.277
142,35.085,2.9742,15.262,1.456,23.46,1.777,1.454,15.314,0.003,-0.5340,0.0452,0.027,0.000,0.202,0.007,50.161
143,35.385,5.8407,15.353,1.468,22.53,1.756,1.465,15.314,0.003,-0.5340,0.1280,0.035,0.000,0.202,0.014,100.133
144,35.584,3.1472,15.445,1.475,21.52,1.740,1.468,15.471,0.007,-0.5190,0.1984,0.041,0.000,0.203,-0.015,49.728
145,35.885,6.1441,15.536,1.478,20.43,1.728,1.468,15.628,0.013,-0.5088,0.2968,0.050,0.000,0.204,0.028,100.097
146,36.084,5.6433,15.628,1.477,19.25,1.724,1.464,15.628,0.013,-0.5202,0.3592,0.056,0.000,0.205,0.038,50.156
147,36.385,6.0897,15.720,1.473,18.01,1.731,1.453,15.785,0.021,-0.5019,0.3941,0.060,0.000,0.206,0.007,100.328
148,36.584,2.4868,15.814,1.465,16.72,1.769,1.441,15.942,0.030,-0.4955,0.4651,0.066,0.000,0.207,0.030,50.024
149,36.884,7.3108,15.909,1.456,15.44,1.829,1.427,15.942,0.030,-0.4825,0.6039,0.079,0.000,0.208,-0.017,100.060
150,37.134,6.8204,16.008,1.446,14.18,1.879,1.409,16.099,0.040,-0.4774,0.6389,0.083,0.000,0.208,0.002,99.881
151,37.435,6.5472,16.109,1.435,12.93,1.952,1.390,16.255,0.053,-0.4740,0.7039,0.090,0.000,0.208,0.032,100.207
152,37.684,7.4143,16.213,1.423,11.66,2.019,1.370,16.412,0.067,-0.4592,0.7521,0.095,0.000,0.209,0.011,100.057
153,37.984,8.7789,16.320,1.408,10.35,2.077,1.344,16.412,0.067,-0.4410,0.7203,0.093,0.000,0.209,-0.004,100.028
154,38.235,8.0162,16.430,1.391,9.04,2.153,1.316,16.568,0.082,-0.4317,0.7762,0.099,0.000,0.210,-0.005,100.116
155,38.534,12.0708,16.544,1.372,7.76,2.243,1.286,16.724,0.099,-0.4266,0.7422,0.097,0.000,0.210,-0.005,100.497
156,38.785,8.6017,16.661,1.352,6.48,2.315,1.253,16.880,0.118,-0.4006,0.7142,0.095,0.000,0.210,0.000,100.295
157,39.084,8.6763,16.782,1.330,5.19,2.385,1.215,16.880,0.118,-0.3830,0.7010,0.095,0.000,0.210,-0.007,100.161
158,39.335,12.1323,16.905,1.305,3.90,2.470,1.174,17.036,0.139,-0.3462,0.6427,0.091,0.000,0.209,-0.013,100.120
159,39.635,11.4616,17.033,1.279,2.64,2.567,1.130,17.191,0.161,-0.2947,0.6356,0.091,0.000,0.209,-0.041,100.262
160,39.885,13.1096,17.164,1.253,1.46,2.667,1.084,17.347,0.185,-0.2646,0.5287,0.082,0.000,0.208,-0.064,100.160
161,40.185,10.5621,17.300,1.227,0.40,2.758,1.037,17.502,0.210,-0.2296,0.3733,0.069,0.000,0.206,-0.070,99.867
162,40.434,10.1657,17.440,1.202,-0.53,2.828,0.989,17.656,0.237,-0.1653,0.3185,0.065,0.000,0.205,-0.047,100.339
