step,t,solve_ms,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz,obs_clear
48.000000,2.400000,2.561300,5.975487,-0.004538,-1.699671,2.390091,0.024929,6.000000,0.000000,-0.101748,-0.289141,0.000000,0.000000,0.000000,0.000000,1.548715
49.000000,2.450000,2.262400,6.094939,-0.008082,-2.165735,2.375634,0.009536,6.100000,0.000000,-0.102125,-0.258301,0.000000,0.000000,0.000000,0.000000,1.445198
50.000000,2.500000,2.591200,6.213636,-0.012571,-2.630706,2.362719,0.018546,6.200000,0.000000,-0.101327,-0.172284,0.000000,0.000000,0.000000,0.000000,1.344986
51.000000,2.550000,2.210300,6.331647,-0.017993,-3.089510,2.354105,0.036405,6.300000,0.000000,-0.097142,-0.164176,0.000000,0.000000,0.000000,0.000000,1.248232
52.000000,2.600000,2.130600,6.449181,-0.024337,-3.527639,2.345896,0.054874,6.400000,0.000000,-0.098030,-0.141337,0.000000,0.000000,0.000000,0.000000,1.154877
53.000000,2.650000,2.116900,6.566254,-0.031554,-3.968260,2.338829,0.046200,6.600000,0.000000,-0.090811,-0.126627,0.000000,0.000000,0.000000,0.000000,1.065363
54.000000,2.700000,2.873300,6.682915,-0.039647,-4.375018,2.332498,0.043171,6.700000,0.000000,-0.077735,-0.073668,0.000000,0.000000,0.000000,0.000000,0.979545
55.000000,2.750000,2.210900,6.799200,-0.048544,-4.722006,2.328815,0.048550,6.800000,0.000000,-0.075880,-0.019270,0.000000,0.000000,0.000000,0.000000,0.897168
56.000000,2.800000,2.576600,6.915246,-0.058129,-5.060148,2.327851,0.060095,6.900000,0.000000,-0.067402,-0.027202,0.000000,0.000000,0.000000,0.000000,0.818969
57.000000,2.850000,2.047000,7.031185,-0.068395,-5.360264,2.326491,0.075169,7.000000,0.000000,-0.065507,-0.033540,0.000000,0.000000,0.000000,0.000000,0.744680
58.000000,2.900000,2.372700,7.147000,-0.079262,-5.651745,2.324814,0.092149,7.100000,0.000000,-0.049562,0.005263,0.000000,0.000000,0.000000,0.000000,0.675091
59.000000,2.950000,2.202900,7.262676,-0.090709,-5.871985,2.325077,0.098088,7.300000,0.000000,-0.037021,0.048726,0.000000,0.000000,0.000000,0.000000,0.609227
60.000000,3.000000,2.152200,7.378320,-0.102603,-6.036455,2.327513,0.104868,7.400000,0.000000,-0.026284,0.045062,0.000000,0.000000,0.000000,0.000000,0.547360
61.000000,3.050000,1.974900,7.494050,-0.114841,-6.153322,2.329766,0.114995,7.500000,0.000000,-0.015334,0.016588,0.000000,0.000000,0.000000,0.000000,0.489720
62.000000,3.100000,2.901500,7.609868,-0.127327,-6.221556,2.330596,0.127709,7.600000,0.000000,-0.003796,0.035738,0.000000,0.000000,0.000000,0.000000,0.436430
63.000000,3.150000,2.179800,7.725711,-0.139956,-6.238454,2.332383,0.142298,7.700000,0.000000,-0.002215,0.057563,0.000000,0.000000,0.000000,0.000000,0.387573
64.000000,3.200000,2.234400,7.841640,-0.152629,-6.248323,2.335261,0.158207,7.800000,0.000000,0.009512,0.125679,0.000000,0.000000,0.000000,0.000000,0.344612
65.000000,3.250000,2.192900,7.957709,-0.165337,-6.205897,2.341545,0.170660,8.000000,0.000000,0.016174,0.088298,0.000000,0.000000,0.000000,0.000000,0.306443
66.000000,3.300000,2.126700,8.074100,-0.177993,-6.133560,2.345960,0.179868,8.100000,0.000000,0.025333,0.133364,0.000000,0.000000,0.000000,0.000000,0.273872
67.000000,3.350000,1.985900,8.190727,-0.190526,-6.020034,2.352628,0.190752,8.200000,0.000000,0.036687,0.091196,0.000000,0.000000,0.000000,0.000000,0.246731
68.000000,3.400000,2.905700,8.307709,-0.202863,-5.855117,2.357188,0.203009,8.300000,0.000000,0.048860,0.075297,0.000000,0.000000,0.000000,0.000000,0.224726
69.000000,3.450000,2.265800,8.424954,-0.214886,-5.634980,2.360953,0.216330,8.400000,0.000000,0.050787,0.069764,0.000000,0.000000,0.000000,0.000000,0.207731
70.000000,3.500000,2.132400,8.542431,-0.226477,-5.405780,2.364441,0.230418,8.500000,0.000000,0.052584,0.100042,0.000000,0.000000,0.000000,0.000000,0.197511
71.000000,3.550000,2.093600,8.660127,-0.237615,-5.168107,2.369443,0.240937,8.700000,0.000000,0.057923,0.095482,0.000000,0.000000,0.000000,0.000000,0.194206
72.000000,3.600000,2.961600,8.778118,-0.248287,-4.905694,2.374217,0.249249,8.800000,0.000000,0.058069,0.058732,0.000000,0.000000,0.000000,0.000000,0.197192
73.000000,3.650000,2.266700,8.896394,-0.258438,-4.642089,2.377154,0.258463,8.900000,0.000000,0.059649,0.070568,0.000000,0.000000,0.000000,0.000000,0.207355
74.000000,3.700000,2.142500,9.014862,-0.268058,-4.370957,2.380682,0.268469,9.000000,0.000000,0.059077,0.119164,0.000000,0.000000,0.000000,0.000000,0.224314
75.000000,3.750000,2.065000,9.133549,-0.277130,-4.102036,2.386640,0.279153,9.100000,0.000000,0.063712,0.104397,0.000000,0.000000,0.000000,0.000000,0.248290
76.000000,3.800000,2.872300,9.252576,-0.285666,-3.811233,2.391860,0.289575,9.300000,0.000000,0.059183,0.101765,0.000000,0.000000,0.000000,0.000000,0.278059
77.000000,3.850000,1.992400,9.371904,-0.293615,-3.540561,2.396948,0.294956,9.400000,0.000000,0.063709,0.099618,0.000000,0.000000,0.000000,0.000000,0.315070
78.000000,3.900000,2.483300,9.491523,-0.301016,-3.248516,2.401929,0.301136,9.500000,0.000000,0.062930,0.092512,0.000000,0.000000,0.000000,0.000000,0.357256
79.000000,3.950000,2.028700,9.611426,-0.307822,-2.959450,2.406555,0.308034,9.600000,0.000000,0.068257,0.076070,0.000000,0.000000,0.000000,0.000000,0.405252
80.000000,4.000000,2.937600,9.731594,-0.314034,-2.645242,2.410358,0.315619,9.700000,0.000000,0.068902,0.085271,0.000000,0.000000,0.000000,0.000000,0.457498
81.000000,4.050000,2.338000,9.851983,-0.319596,-2.327553,2.414622,0.323183,9.900000,0.000000,0.074543,0.066624,0.000000,0.000000,0.000000,0.000000,0.422743
82.000000,4.100000,2.359500,9.972615,-0.324499,-1.983153,2.417953,0.325653,10.000000,0.000000,0.067549,0.092954,0.000000,0.000000,0.000000,0.000000,0.362764
83.000000,4.150000,2.127800,10.093440,-0.328683,-1.670741,2.422601,0.328749,10.100000,0.000000,0.069252,0.046507,0.000000,0.000000,0.000000,0.000000,0.307184
84.000000,4.200000,2.377100,10.214519,-0.332215,-1.349809,2.424926,0.332532,10.200000,0.000000,0.073865,0.042763,0.000000,0.000000,0.000000,0.000000,0.256862
85.000000,4.250000,2.192700,10.335731,-0.335071,-1.007098,2.427064,0.336971,10.300000,0.000000,0.079600,-0.045262,0.000000,0.000000,0.000000,0.000000,0.212385
86.000000,4.300000,2.683500,10.457066,-0.337204,-0.637344,2.424801,0.339926,10.500000,0.000000,0.085172,-0.078978,0.000000,0.000000,0.000000,0.000000,0.174162
87.000000,4.350000,2.379600,10.578298,-0.338552,-0.241952,2.420852,0.339247,10.600000,0.000000,0.086526,-0.154904,0.000000,0.000000,0.000000,0.000000,0.142556
88.000000,4.400000,2.115600,10.699340,-0.339064,0.159103,2.413107,0.339064,10.700000,0.000000,0.090331,-0.217941,0.000000,0.000000,0.000000,0.000000,0.117753
89.000000,4.450000,1.948500,10.819995,-0.338729,0.576546,2.402210,0.339318,10.800000,0.000000,0.108686,-0.290587,0.000000,0.000000,0.000000,0.000000,0.100046
90.000000,4.500000,2.684200,10.940099,-0.337520,1.077157,2.387681,0.339894,10.900000,0.000000,0.129389,-0.353675,0.000000,0.000000,0.000000,0.000000,0.089591
91.000000,4.550000,2.340200,11.059462,-0.335276,1.670502,2.369997,0.337718,11.100000,0.000000,0.147640,-0.350734,0.000000,0.000000,0.000000,0.000000,0.085998
92.000000,4.600000,2.283600,11.177911,-0.331821,2.343672,2.352460,0.332556,11.200000,0.000000,0.159960,-0.350628,0.000000,0.000000,0.000000,0.000000,0.088714
93.000000,4.650000,1.958000,11.295436,-0.327011,3.068542,2.334929,0.327043,11.300000,0.000000,0.168448,-0.299685,0.000000,0.000000,0.000000,0.000000,0.097211
94.000000,4.700000,2.739500,11.412015,-0.320762,3.826903,2.319945,0.320987,11.400000,0.000000,0.172350,-0.246860,0.000000,0.000000,0.000000,0.000000,0.111049
95.000000,4.750000,2.298500,11.527754,-0.313020,4.598197,2.307602,0.314248,11.500000,0.000000,0.158721,-0.201118,0.000000,0.000000,0.000000,0.000000,0.129888
96.000000,4.800000,2.287000,11.642762,-0.303770,5.303648,2.297546,0.306765,11.600000,0.000000,0.145527,-0.147063,0.000000,0.000000,0.000000,0.000000,0.153731
97.000000,4.850000,1.957600,11.757148,-0.293151,5.946767,2.290193,0.296267,11.800000,0.000000,0.142075,-0.091458,0.000000,0.000000,0.000000,0.000000,0.182569
98.000000,4.900000,2.616100,11.871041,-0.281288,6.572408,2.285620,0.282775,11.900000,0.000000,0.130975,-0.077238,0.000000,0.000000,0.000000,0.000000,0.216133
99.000000,4.950000,2.300400,11.984571,-0.268207,7.147432,2.281758,0.268651,12.000000,0.000000,0.130610,-0.054253,0.000000,0.000000,0.000000,0.000000,0.254429
100.000000,5.000000,2.545000,12.097773,-0.254012,7.719868,2.279045,0.254022,12.100000,0.000000,0.115716,-0.026863,0.000000,0.000000,0.000000,0.000000,0.297007
101.000000,5.050000,2.143700,12.210692,-0.238705,8.225801,2.277702,0.238944,12.200000,0.000000,0.104089,0.034258,0.000000,0.000000,0.000000,0.000000,0.344064
