x,y,yaw,ref_v
4.110392901661772,0.2601277706219154,0.4602333186787595,1.5
4.154987780677656,0.2827938240918364,0.48024346296914033,1.5
4.199120211232054,0.30634763031723855,0.5002536072595212,1.5
4.242772523030135,0.3307797585304275,0.520263751549902,1.5
4.285927238013024,0.3560804262901569,0.5402738958402828,1.5
4.328567077355885,0.38223950339845025,0.5602840401306637,1.5
4.370674968386234,0.40924651595665207,0.5802941844210445,1.5
4.412234051419709,0.43709065055910123,0.6003043287114255,1.5
4.453227686510564,0.4657607586227348,0.6203144730018063,1.5
4.493639460114174,0.49524536085090043,0.6403246172921871,1.5
4.5334531916589,0.5255326518295793,0.660334761582568,1.5
4.572652940024663,0.5566105047541852,0.6803449058729488,1.5
4.6112230099256575,0.5884664762850467,0.7003550501633297,1.5
4.649147958194617,0.6210878115296272,0.7203651944537105,1.5
4.686412599966151,0.6544614491494885,0.7403753387440913,1.5
4.723002014756647,0.6885740265899529,0.7603854830344722,1.5
4.758901552438319,0.7234118854303699,0.780395627324853,1.5
4.794096839105013,0.7589610768528461,0.800405771615234,1.5
4.82857378282741,0.7952073672272459,0.8204159159056148,1.5
4.862318579295326,0.8321362438102329,0.8404260601959956,1.5
4.89531771734486,0.869732920556062,0.8604362044863765,1.5
4.92755798436816,0.9079823440368016,0.8804463487767573,1.5
4.959026471603649,0.9468691994696141,0.9004564930671382,1.5
4.989710579304603,0.9863779168486797,0.920466637357519,1.5
5.01959802178399,1.0264926771793104,0.9404767816478998,1.5
5.04867683233357,1.067197418811757,0.9604869259382807,1.5
5.076935368015274,1.1084758438721738,0.9804970702286615,1.5
5.104362314322951,1.1503114247881645,1.0005072145190423,1.5
5.130946689712609,1.1926874109062993,1.0205173588094232,1.5
5.156677849999344,1.2355868351989507,1.040527503099804,1.5
5.181545492619195,1.2789925210577642,1.0605376473901849,1.5
5.205539660754207,1.322887089171044,1.0805477916805657,1.5
5.228650747319072,1.3672529644822997,1.1005579359709465,1.5
5.2508694988077345,1.4120723832271662,1.1205680802613274,1.5
5.2721870189984195,1.4573274000458831,1.1405782245517082,1.5
5.292594772515619,1.502999895168482,1.160588368842089,1.5
5.3120845882475916,1.5490715816698073,1.18059851313247,1.5
5.330648662618015,1.5955240127914614,1.200608657422851,1.5
