step,t,mx,my,myaw_deg,v,min_dist,ref_x,ref_y,steer_rad,accel_cmd,throttle,brake,z,vz
139,24.619,23.339,27.351,135.10,2.316,0.108,23.431,27.406,0.1284,-0.1054,0.013,0.000,0.585,-0.029
140,24.764,23.066,27.556,136.65,2.211,0.106,23.170,27.580,0.1321,0.0449,0.026,0.000,0.586,-0.026
141,24.964,22.704,27.804,138.85,2.159,0.072,22.770,27.830,0.1425,-0.0021,0.022,0.000,0.586,0.038
142,25.114,22.427,27.977,140.55,2.148,0.074,22.500,27.990,0.1649,0.0106,0.023,0.000,0.586,-0.003
143,25.315,22.052,28.188,143.00,2.105,0.048,22.088,28.220,0.1584,0.0743,0.028,0.000,0.586,-0.016
144,25.465,21.764,28.328,145.05,2.096,0.059,21.810,28.365,0.1650,0.2386,0.043,0.000,0.586,0.040
145,25.664,21.371,28.501,147.72,2.159,0.073,21.387,28.572,0.1326,0.2452,0.044,0.000,0.586,-0.015
146,25.812,21.060,28.623,149.83,2.233,0.090,21.101,28.703,0.1274,0.2916,0.048,0.000,0.588,0.003
147,26.012,20.629,28.789,152.16,2.338,0.106,20.668,28.888,0.1202,0.1392,0.035,0.000,0.588,0.004
148,26.162,20.288,28.909,153.92,2.411,0.129,20.376,29.004,0.1442,0.0448,0.027,0.000,0.588,0.031
149,26.365,19.823,29.055,156.25,2.406,0.156,19.933,29.166,0.1467,0.0542,0.028,0.000,0.586,0.011
150,26.513,19.470,29.144,158.27,2.398,0.171,19.486,29.314,0.1250,0.0412,0.027,0.000,0.585,0.010
151,26.714,18.997,29.243,160.93,2.372,0.208,19.034,29.447,0.1233,0.1520,0.037,0.000,0.587,0.018
152,26.863,18.644,29.309,162.64,2.383,0.236,18.730,29.529,0.1033,0.1020,0.033,0.000,0.587,0.001
153,27.063,18.167,29.386,164.83,2.400,0.274,18.272,29.639,0.1166,0.2197,0.043,0.000,0.588,0.022
154,27.216,17.805,29.437,166.29,2.437,0.297,17.811,29.734,0.0953,0.1595,0.038,0.000,0.587,0.031
155,27.413,17.310,29.490,168.41,2.490,0.327,17.347,29.815,0.0870,0.1194,0.035,0.000,0.588,0.001
156,27.562,16.933,29.524,169.76,2.515,0.352,17.036,29.861,0.0692,0.0646,0.030,0.000,0.588,-0.011
157,27.762,16.428,29.564,171.38,2.520,0.370,16.412,29.933,0.0647,-0.0073,0.024,0.000,0.589,0.002
158,27.914,16.050,29.590,172.39,2.510,0.373,16.099,29.960,0.0501,0.0619,0.030,0.000,0.588,-0.011
159,28.113,15.552,29.619,173.56,2.482,0.376,15.628,29.987,0.0529,-0.1078,0.015,0.000,0.588,-0.035
160,28.263,15.181,29.638,174.27,2.440,0.362,15.157,29.999,0.0470,0.0697,0.030,0.000,0.588,-0.050
161,28.462,14.698,29.656,175.22,2.405,0.344,14.700,30.000,0.0391,0.0199,0.026,0.000,0.589,-0.006
162,28.614,14.337,29.667,175.87,2.403,0.335,14.300,30.000,0.0705,0.2495,0.046,0.000,0.589,0.019
163,28.814,13.854,29.676,176.67,2.446,0.328,13.900,30.000,0.0684,0.2302,0.045,0.000,0.589,0.022
164,28.962,13.480,29.669,177.59,2.521,0.331,13.500,30.000,0.0456,0.2148,0.044,0.000,0.589,0.021
165,29.162,12.965,29.651,178.83,2.590,0.351,13.000,30.000,0.0055,0.0611,0.031,0.000,0.590,0.027
166,29.314,12.573,29.639,179.47,2.605,0.362,12.600,30.000,0.0166,-0.0438,0.021,0.000,0.590,0.016
167,29.513,12.054,29.634,179.71,2.560,0.369,12.100,30.000,-0.0021,0.0054,0.026,0.000,0.590,-0.031
168,29.663,11.672,29.630,179.94,2.517,0.371,11.700,30.000,-0.0043,0.0163,0.027,0.000,0.589,-0.017
169,29.862,11.171,29.631,179.89,2.483,0.370,11.200,30.000,-0.0476,0.0660,0.031,0.000,0.590,-0.015
170,30.013,10.799,29.635,179.81,2.466,0.365,10.800,30.000,-0.0618,0.0918,0.033,0.000,0.590,0.007
171,30.212,10.306,29.654,179.23,2.455,0.346,10.300,30.000,-0.0688,0.0522,0.030,0.000,0.591,0.003
172,30.363,9.938,29.684,178.40,2.448,0.319,9.900,30.000,-0.0427,0.0101,0.026,0.000,0.591,-0.002
173,30.562,9.451,29.734,177.17,2.449,0.270,9.500,30.000,-0.0307,-0.0833,0.018,0.000,0.590,0.006
174,30.715,9.087,29.770,176.59,2.415,0.230,9.100,30.000,-0.0363,0.1327,0.037,0.000,0.590,0.010
175,30.912,8.608,29.818,175.98,2.415,0.183,8.600,30.000,-0.0317,0.1376,0.038,0.000,0.591,0.006
